pitcher,team,opponent,line,over_odds,under_odds,notes
Cristopher Sánchez,Philadelphia Phillies,San Diego Padres,6.5,,,
Gavin Williams,Cleveland Guardians,Washington Nationals,6.5,,,
Shohei Ohtani,Los Angeles Dodgers,Colorado Rockies,7,,,
Davis Martin,Chicago White Sox,Minnesota Twins,,,,
José Soriano,Los Angeles Angels,Detroit Tigers,5.5,,,
Jacob deGrom,Texas Rangers,Houston Astros,6.5,,,
Casey Mize,Detroit Tigers,Los Angeles Angels,3.5,,,
Logan Gilbert,Seattle Mariners,Athletics,4.5,,,
Bryce Elder,Atlanta Braves,Boston Red Sox,3.5,,,
Connor Prielipp,Minnesota Twins,Chicago White Sox,5,,,
Noah Cameron,Kansas City Royals,New York Yankees,4.5,,,
Kevin Gausman,Toronto Blue Jays,Miami Marlins,4.5,,,
Michael Soroka,Arizona Diamondbacks,San Francisco Giants,5,,,
Eury Pérez,Miami Marlins,Toronto Blue Jays,5,,,
Mike Burrows,Houston Astros,Texas Rangers,4.5,,,
Jameson Taillon,Chicago Cubs,Pittsburgh Pirates,4.5,,,
Connelly Early,Boston Red Sox,Atlanta Braves,3.5,,,
Trevor McDonald,San Francisco Giants,Arizona Diamondbacks,4,,,
Bubba Chandler,Pittsburgh Pirates,Chicago Cubs,4.5,,,
Jeffrey Springs,Athletics,Seattle Mariners,4.5,,,
Walker Buehler,San Diego Padres,Philadelphia Phillies,3.5,,,
Steven Matz,Tampa Bay Rays,Baltimore Orioles,3.5,,,
Dustin May,St. Louis Cardinals,Milwaukee Brewers,4.5,,,
Andrew Abbott,Cincinnati Reds,New York Mets,4,,,
Chad Patrick,Milwaukee Brewers,St. Louis Cardinals,3.5,,,
Huascar Brazobán,New York Mets,Cincinnati Reds,0.5,,,
Tomoyuki Sugano,Colorado Rockies,Los Angeles Dodgers,3,,,
Gerrit Cole,New York Yankees,Kansas City Royals,4.5,,,
PJ Poulin,Washington Nationals,Cleveland Guardians,0.5,,,
