pitcher,date,team,opponent,line,pick,over_odds,under_odds,actual_ks,notes
Taj Bradley,2026-05-29,Minnesota Twins,Pittsburgh Pirates,5.5,,,,,
Luis Severino,2026-05-30,Athletics,New York Yankees,5,,,,,
Max Meyer,2026-05-29,Miami Marlins,New York Mets,6,,,,,
Shota Imanaga,2026-05-29,Chicago Cubs,St. Louis Cardinals,5,,,,,
Logan Webb,2026-05-30,San Francisco Giants,Colorado Rockies,4.5,,,,,
Carlos Rodón,2026-05-30,New York Yankees,Athletics,6,,,,,
Freddy Peralta,2026-05-29,New York Mets,Miami Marlins,5.5,,,,,
Zack Wheeler,2026-05-30,Philadelphia Phillies,Los Angeles Dodgers,6,,,,,
Grant Holmes,2026-05-29,Atlanta Braves,Cincinnati Reds,3.5,,,,,
MacKenzie Gore,2026-05-30,Texas Rangers,Kansas City Royals,5,,,,,
George Kirby,2026-05-30,Seattle Mariners,Arizona Diamondbacks,5,,,,,
Slade Cecconi,2026-05-29,Cleveland Guardians,Boston Red Sox,4,,,,,
Zac Gallen,2026-05-30,Arizona Diamondbacks,Seattle Mariners,3.5,,,,,
Andre Pallante,2026-05-29,St. Louis Cardinals,Chicago Cubs,2.5,,,,,
Nick Martinez,2026-05-29,Tampa Bay Rays,Los Angeles Angels,4,,,,,
Justin Wrobleski,2026-05-30,Los Angeles Dodgers,Philadelphia Phillies,4.5,,,,,
Walbert Ureña,2026-05-29,Los Angeles Angels,Tampa Bay Rays,4,,,,,
Michael Lorenzen,2026-05-30,Colorado Rockies,San Francisco Giants,3.5,,,,,
Stephen Kolek,2026-05-30,Kansas City Royals,Texas Rangers,3.5,,,,,
Chris Paddack,2026-05-29,Cincinnati Reds,Atlanta Braves,3.5,,,,,
Paxton Schultz,2026-05-29,Washington Nationals,San Diego Padres,1.5,,,,,
Coleman Crow,2026-05-30,Milwaukee Brewers,Houston Astros,4,,,,,
Troy Melton,2026-05-29,Detroit Tigers,Chicago White Sox,4,,,,,
Erick Fedde,2026-05-29,Chicago White Sox,Detroit Tigers,6.5,,,,,
Trevor Rogers,2026-05-29,Baltimore Orioles,Toronto Blue Jays,4,,,,,
Kai-Wei Teng,2026-05-30,Houston Astros,Milwaukee Brewers,5,,,,,
Jared Jones,2026-05-29,Pittsburgh Pirates,Minnesota Twins,3.5,,,,,
Lucas Giolito,2026-05-29,San Diego Padres,Washington Nationals,4,,,,,
Tyler Samaniego,2026-05-29,Boston Red Sox,Cleveland Guardians,0.5,,,,,
