date,pitcher,team,opponent,line,pick,over_odds,under_odds,actual_ks,notes
2026-05-27,Casey Mize,Detroit Tigers,Los Angeles Angels,3.5,MORE,,,6,from screenshot
2026-05-27,Bryce Elder,Atlanta Braves,Boston Red Sox,3.5,MORE,,,1,from screenshot
2026-05-27,Christopher Sanchez,Philadelphia Phillies,San Diego Padres,6.5,MORE,,,9,from screenshot
2026-05-27,Jose Soriano,Los Angeles Angels,Detroit Tigers,5.5,MORE,,,4,from screenshot
2026-05-27,Logan Gilbert,Seattle Mariners,Athletics,4.5,MORE,,,6,from screenshot
2026-05-27,Gavin Williams,Cleveland Guardians,Washington Nationals,6.5,MORE,,,4,from screenshot
2026-05-27,Huascar Brazoban,New York Mets,Cincinnati Reds,0.5,MORE,,,2,from screenshot
2026-05-27,Connelly Early,Boston Red Sox,Atlanta Braves,3.5,MORE,,,7,from screenshot
2026-05-26,Spencer Strider,Atlanta Braves,Boston Red Sox,4.5,MORE,,,5,from screenshot
2026-05-26,Emerson Hancock,Seattle Mariners,Athletics,4.5,MORE,,,3,from screenshot
2026-05-26,Braydon Fisher,Toronto Blue Jays,Miami Marlins,1.5,MORE,,,1,from screenshot
2026-05-26,Sean Burke,Chicago White Sox,Minnesota Twins,3.5,MORE,,,8,from screenshot
2026-05-26,Cam Schlittler,New York Yankees,Kansas City Royals,5.5,MORE,,,6,from screenshot
2026-05-26,Griffin Jax,Tampa Bay Rays,Baltimore Orioles,5,LESS,,,3,from screenshot
2026-07-25,Hunter Greene,Cincinnati Reds,St. Louis Cardinals,6.5,,102,-130,3,full slate with both prices
2026-07-25,Nathan Eovaldi,Texas Rangers,Seattle Mariners,6.5,,112,-142,8,full slate with both prices
2026-07-25,Nolan McLean,New York Mets,Los Angeles Dodgers,6.5,,114,-146,7,full slate with both prices
2026-07-25,Yoshinobu Yamamoto,Los Angeles Dodgers,New York Mets,6.5,,112,-142,5,full slate with both prices
2026-07-25,Sean Burke,Chicago White Sox,Houston Astros,5.5,,-102,-125,10,full slate with both prices
2026-07-25,Paul Skenes,Pittsburgh Pirates,Chicago Cubs,6.5,,-148,116,11,full slate with both prices
2026-07-25,Eury Pérez,Miami Marlins,San Diego Padres,5.5,,-162,126,2,full slate with both prices
2026-07-25,Ryan Weathers,New York Yankees,Philadelphia Phillies,6.5,,128,-164,7,full slate with both prices
2026-07-25,Bryan Woo,Seattle Mariners,Texas Rangers,5.5,,-142,112,5,full slate with both prices
2026-07-25,Shota Imanaga,Chicago Cubs,Pittsburgh Pirates,5.5,,-118,-108,4,full slate with both prices
2026-07-25,Robbie Ray,San Francisco Giants,Los Angeles Angels,5.5,,-130,102,5,full slate with both prices
2026-07-25,Hunter Brown,Houston Astros,Chicago White Sox,5.5,,-132,104,7,full slate with both prices
2026-07-25,Foster Griffin,Washington Nationals,Arizona Diamondbacks,4.5,,-128,100,2,full slate with both prices
2026-07-25,Sonny Gray,Boston Red Sox,Toronto Blue Jays,4.5,,-130,102,3,full slate with both prices
2026-07-25,Brandon Young,Baltimore Orioles,Atlanta Braves,4.5,,118,-150,6,full slate with both prices
2026-07-25,Robert Gasser,Milwaukee Brewers,Colorado Rockies,5.5,,108,-138,4,full slate with both prices
2026-07-25,Bryce Elder,Atlanta Braves,Baltimore Orioles,4.5,,-136,106,8,full slate with both prices
2026-07-25,Andre Pallante,St. Louis Cardinals,Cincinnati Reds,4.5,,118,-150,8,full slate with both prices
2026-07-25,Ryan Johnson,Los Angeles Angels,San Francisco Giants,3.5,,-125,-102,4,full slate with both prices
2026-07-25,Ryan Feltner,Colorado Rockies,Milwaukee Brewers,4.5,,126,-162,4,full slate with both prices
2026-07-25,Tanner Bibee,Cleveland Guardians,Tampa Bay Rays,4.5,,132,-170,5,full slate with both prices
2026-07-25,Nick Martinez,Tampa Bay Rays,Cleveland Guardians,3.5,,112,-142,5,full slate with both prices
2026-07-25,Mitch Bratt,Arizona Diamondbacks,Washington Nationals,3.5,,-113,-113,3,full slate with both prices
