pitcher,team,opponent,line,over_odds,under_odds,notes
Cristopher Sánchez,Philadelphia Phillies,San Diego Padres,,,,
Gavin Williams,Cleveland Guardians,Washington Nationals,,,,
Shohei Ohtani,Los Angeles Dodgers,Colorado Rockies,,,,
Davis Martin,Chicago White Sox,Minnesota Twins,,,,
José Soriano,Los Angeles Angels,Detroit Tigers,,,,
Jacob deGrom,Texas Rangers,Houston Astros,,,,
Casey Mize,Detroit Tigers,Los Angeles Angels,,,,
Logan Gilbert,Seattle Mariners,Athletics,,,,
Bryce Elder,Atlanta Braves,Boston Red Sox,,,,
Connor Prielipp,Minnesota Twins,Chicago White Sox,,,,
Noah Cameron,Kansas City Royals,New York Yankees,,,,
Kevin Gausman,Toronto Blue Jays,Miami Marlins,,,,
Michael Soroka,Arizona Diamondbacks,San Francisco Giants,,,,
Eury Pérez,Miami Marlins,Toronto Blue Jays,,,,
Mike Burrows,Houston Astros,Texas Rangers,,,,
Jameson Taillon,Chicago Cubs,Pittsburgh Pirates,,,,
Connelly Early,Boston Red Sox,Atlanta Braves,,,,
Trevor McDonald,San Francisco Giants,Arizona Diamondbacks,,,,
Bubba Chandler,Pittsburgh Pirates,Chicago Cubs,,,,
Jeffrey Springs,Athletics,Seattle Mariners,,,,
Walker Buehler,San Diego Padres,Philadelphia Phillies,,,,
Steven Matz,Tampa Bay Rays,Baltimore Orioles,,,,
Dustin May,St. Louis Cardinals,Milwaukee Brewers,,,,
Andrew Abbott,Cincinnati Reds,New York Mets,,,,
Chad Patrick,Milwaukee Brewers,St. Louis Cardinals,,,,
Huascar Brazobán,New York Mets,Cincinnati Reds,,,,
Tomoyuki Sugano,Colorado Rockies,Los Angeles Dodgers,,,,
Gerrit Cole,New York Yankees,Kansas City Royals,,,,
PJ Poulin,Washington Nationals,Cleveland Guardians,,,,
